NTAName,NTA2020,BoroName,BoroCD,Pop_Total,Num_65+,Percent_65+,Percent_65+_Below_Poverty,Percent_Hispanic,Percent_white,Percent_Black,Percent_Asian,Percent_Other,
Jamaica,QN61,Queens,412,"53,932","6,401",11.9,18.1,35.2,3.3,15.7,34.7,11.0%,
Queensboro Hill,QN62,Queens,407,"20,269","2,925",14.4,17.7,16.8,12.3,1.4,67.7,1.7%,
Woodside,QN63,Queens,402,"43,841","6,896",15.7,14.9,33.8,22.6,0.8,40.4,2.3%,
Laurelton,QN66,Queens,413,"26,544","4,659",17.6,5.8,5.7,1.2,89.7,0.7,2.7%,
Queensbridge-Ravenswood-Long Island City,QN68,Queens,401,"19,228","2,184",11.4,36.2,34.5,15.5,25,21,4.0%,
Astoria,QN70,Queens,401,"74,767","9,731",13,16.7,26.4,50.3,3.6,16.7,3.0%,
Old Astoria,QN71,Queens,401,"24,732","3,123",12.6,19.1,32.5,39.4,9.8,15.6,2.7%,
Steinway,QN72,Queens,401,"48,235","6,737",14,9.3,20.9,62.8,2.5,11.3,2.4%,
Baisley Park,QN76,Queens,412,"39,203","4,595",11.7,7.5,12.3,1,68.5,7.1,11.1%,
Airport,QN98,Queens,483,-,-,,,,,,,#DIV/0!,
park-cemetery-etc-Queens,QN99,Queens,409,159,48,30.2,31.2,44,45.3,,10.7,0.0%,
Annadale-Huguenot-Prince's Bay-Eltingville,SI01,Staten Isla,503,"28,976","5,354",18.5,5.2,7.3,86.8,0.9,3.9,1.0%,
New Springville-Bloomfield-Travis,SI05,Staten Isla,502,"41,936","7,233",17.2,10.7,14.9,58.9,4.1,19.4,2.7%,
Westerleigh,SI07,Staten Isla,501,"24,111","3,882",16.1,9.3,15.6,71.1,3.2,8.9,1.2%,
Grymes Hill-Clifton-Fox Hills,SI08,Staten Isla,501,"21,707","2,538",11.7,22.8,27.6,27.4,32.2,11,1.8%,
Charleston-Richmond Valley-Tottenville,SI11,Staten Isla,503,"24,275","2,778",11.4,8.4,9.8,85.5,0.9,3.3,0.6%,
Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,Staten Isla,501,"31,907","3,169",9.9,21.6,37.3,21.6,28.5,10.1,2.5%,
Grasmere-Arrochar-Ft. Wadsworth,SI14,Staten Isla,502,"16,292","2,415",14.8,11.5,14.6,62.8,7.2,12.7,2.7%,
West New Brighton-New Brighton-St. George,SI22,Staten Isla,501,"32,172","4,218",13.1,20.1,33,24.3,31.4,5.6,5.7%,
Todt Hill-Emerson Hill-Heartland Village-Lighthouse,SI24,Staten Isla,502,"32,348","6,313",19.5,8.8,10.2,71.2,2.3,14.6,1.7%,
Oakwood-Oakwood Beach,SI25,Staten Isla,503,"20,509","4,136",20.2,11.2,14.4,76.7,2,4.2,2.7%,
Port Richmond,SI28,Staten Isla,501,"19,545","2,228",11.4,10.1,38.3,37,16.5,6.7,1.5%,
Rossville-Woodrow,SI32,Staten Isla,503,"22,197","3,961",17.8,12.2,8.5,86.1,0.1,3.6,1.7%,
New Brighton-Silver Lake,SI35,Staten Isla,501,"17,105","2,902",17,9,23.8,60.8,7.3,5.8,2.4%,
Old Town-Dongan Hills-South Beach,SI36,Staten Isla,502,"25,453","3,984",15.7,15.1,15.5,67,4.9,10,2.5%,
Stapleton-Rosebank,SI37,Staten Isla,501,"25,347","3,520",13.9,18.3,28.4,37.3,20.2,11,3.1%,
