GEOID20,NAME,Estimate_Total,MoE_Total,Estimate_Total_Not_Hispanic_or_Latino,MoE_Total_Not_Hispanic_or_Latino,Estimate_Total_Not_Hispanic_or_Latino_White_alone,MoE_Total_Not_Hispanic_or_Latino_White_alone,Estimate_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Not_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Not_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Not_Hispanic_or_Latino_Asian_alone,MoE_Total_Not_Hispanic_or_Latino_Asian_alone,Estimate_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Not_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Not_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Not_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Not_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races",Estimate_Total_Hispanic_or_Latino,MoE_Total_Hispanic_or_Latino,Estimate_Total_Hispanic_or_Latino_White_alone,MoE_Total_Hispanic_or_Latino_White_alone,Estimate_Total_Hispanic_or_Latino_Black_or_African_American_alone,MoE_Total_Hispanic_or_Latino_Black_or_African_American_alone,Estimate_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,MoE_Total_Hispanic_or_Latino_American_Indian_and_Alaska_Native_alone,Estimate_Total_Hispanic_or_Latino_Asian_alone,MoE_Total_Hispanic_or_Latino_Asian_alone,Estimate_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,MoE_Total_Hispanic_or_Latino_Native_Hawaiian_and_Other_Pacific_Islander_alone,Estimate_Total_Hispanic_or_Latino_Some_other_race_alone,MoE_Total_Hispanic_or_Latino_Some_other_race_alone,Estimate_Total_Hispanic_or_Latino_Two_or_more_races,MoE_Total_Hispanic_or_Latino_Two_or_more_races,Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_including_Some_other_race,"Estimate_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races","MoE_Total_Hispanic_or_Latino_Two_or_more_races_Two_races_excluding_Some_other_race,_and_three_or_more_races"
1500000US360470258001,"Block Group 1, Census Tract 258, Kings County, New York",1377,263,1126,278,491,180,0,12,0,12,635,247,0,12,0,12,0,12,0,12,0,12,251,274,61,64,0,12,0,12,0,12,0,12,190,261,0,12,0,12,0,12
1500000US360470258002,"Block Group 2, Census Tract 258, Kings County, New York",1663,544,1139,382,327,169,0,12,0,12,800,356,0,12,0,12,12,18,0,12,12,18,524,430,17,20,0,12,0,12,0,12,0,12,492,435,15,25,15,25,0,12
1500000US360470258003,"Block Group 3, Census Tract 258, Kings County, New York",1427,355,1080,331,704,227,0,12,0,12,376,268,0,12,0,12,0,12,0,12,0,12,347,209,231,166,0,12,0,12,37,54,0,12,79,82,0,12,0,12,0,12
1500000US360470259011,"Block Group 1, Census Tract 259.01, Kings County, New York",1874,228,1269,207,614,109,527,177,0,12,39,37,0,12,0,12,89,67,0,12,89,67,605,130,161,115,92,85,0,12,0,12,0,12,276,127,76,88,0,12,76,88
1500000US360470259021,"Block Group 1, Census Tract 259.02, Kings County, New York",3650,638,1864,474,0,12,1779,462,0,12,40,66,0,12,0,12,45,65,0,12,45,65,1786,541,336,211,285,207,0,12,0,12,0,12,1139,506,26,32,6,9,20,30
1500000US360470260001,"Block Group 1, Census Tract 260, Kings County, New York",1320,505,1119,450,511,376,0,12,0,12,539,279,0,12,7,11,62,72,0,12,62,72,201,245,20,30,0,12,0,12,0,12,0,12,181,243,0,12,0,12,0,12
1500000US360470260002,"Block Group 2, Census Tract 260, Kings County, New York",577,185,577,185,197,121,0,12,0,12,312,164,0,12,68,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470260003,"Block Group 3, Census Tract 260, Kings County, New York",1287,309,1087,261,694,227,0,12,0,12,393,160,0,12,0,12,0,12,0,12,0,12,200,137,56,71,0,12,0,12,0,12,0,12,144,119,0,12,0,12,0,12
1500000US360470261001,"Block Group 1, Census Tract 261, Kings County, New York",730,336,459,221,186,125,164,128,0,12,0,12,0,12,0,12,109,110,0,12,109,110,271,233,80,115,24,51,0,12,0,12,0,12,111,151,56,74,13,28,43,70
1500000US360470261002,"Block Group 2, Census Tract 261, Kings County, New York",746,302,582,276,174,115,362,267,0,12,46,38,0,12,0,12,0,12,0,12,0,12,164,137,35,42,81,114,0,12,0,12,0,12,0,12,48,66,48,66,0,12
1500000US360470261003,"Block Group 3, Census Tract 261, Kings County, New York",1347,494,974,345,177,130,797,306,0,12,0,12,0,12,0,12,0,12,0,12,0,12,373,302,41,87,89,139,0,12,0,12,0,12,128,108,115,201,13,36,102,171
1500000US360470261004,"Block Group 4, Census Tract 261, Kings County, New York",794,436,554,282,169,138,334,205,0,12,51,93,0,12,0,12,0,12,0,12,0,12,240,200,19,30,0,12,63,117,0,12,26,42,132,123,0,12,0,12,0,12
1500000US360470261005,"Block Group 5, Census Tract 261, Kings County, New York",1181,603,903,467,250,148,561,396,0,12,19,37,0,12,0,12,73,82,0,12,73,82,278,245,49,79,0,12,0,12,0,12,0,12,20,32,209,230,112,172,97,156
1500000US360470262001,"Block Group 1, Census Tract 262, Kings County, New York",1422,412,1237,388,403,100,8,13,0,12,798,378,0,12,0,12,28,34,0,12,28,34,185,132,102,91,0,12,2,5,0,12,0,12,53,84,28,36,0,12,28,36
1500000US360470262002,"Block Group 2, Census Tract 262, Kings County, New York",1091,200,981,179,283,87,7,11,0,12,666,158,0,12,0,12,25,28,0,12,25,28,110,112,0,12,0,12,0,12,0,12,0,12,110,112,0,12,0,12,0,12
1500000US360470263001,"Block Group 1, Census Tract 263, Kings County, New York",2047,308,1859,315,385,119,1340,323,0,12,76,42,18,29,0,12,40,28,7,11,33,26,188,91,32,25,61,66,9,13,0,12,0,12,61,42,25,27,16,24,9,14
1500000US360470264001,"Block Group 1, Census Tract 264, Kings County, New York",468,223,468,223,189,133,0,12,44,71,218,147,0,12,0,12,17,30,0,12,17,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470264002,"Block Group 2, Census Tract 264, Kings County, New York",969,369,881,358,449,278,0,12,0,12,432,228,0,12,0,12,0,12,0,12,0,12,88,88,0,12,0,12,0,12,45,68,0,12,43,60,0,12,0,12,0,12
1500000US360470264003,"Block Group 3, Census Tract 264, Kings County, New York",1465,409,862,290,345,158,0,12,0,12,517,261,0,12,0,12,0,12,0,12,0,12,603,300,144,105,0,12,0,12,0,12,0,12,459,294,0,12,0,12,0,12
1500000US360470264004,"Block Group 4, Census Tract 264, Kings County, New York",1589,461,1118,296,306,124,19,24,0,12,765,283,0,12,0,12,28,28,0,12,28,28,471,396,84,136,0,12,0,12,0,12,0,12,366,377,21,26,21,26,0,12
1500000US360470265001,"Block Group 1, Census Tract 265, Kings County, New York",1314,361,884,304,219,129,626,306,0,12,17,16,0,12,0,12,22,29,7,14,15,24,430,199,98,71,8,15,0,12,0,12,0,12,194,164,130,159,37,39,93,151
1500000US360470265002,"Block Group 2, Census Tract 265, Kings County, New York",901,340,877,328,224,141,493,233,31,50,10,18,0,12,0,12,119,176,0,12,119,176,24,44,13,25,0,12,0,12,3,8,0,12,0,12,8,21,0,12,8,21
1500000US360470265003,"Block Group 3, Census Tract 265, Kings County, New York",1105,457,1036,464,297,256,491,250,0,12,28,32,0,12,0,12,220,356,220,356,0,12,69,53,32,35,0,12,0,12,0,12,0,12,37,41,0,12,0,12,0,12
1500000US360470265004,"Block Group 4, Census Tract 265, Kings County, New York",712,274,647,260,215,152,411,213,0,12,21,34,0,12,0,12,0,12,0,12,0,12,65,99,65,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470266001,"Block Group 1, Census Tract 266, Kings County, New York",1419,494,986,272,193,142,0,12,0,12,793,273,0,12,0,12,0,12,0,12,0,12,433,417,0,12,0,12,0,12,0,12,0,12,433,417,0,12,0,12,0,12
1500000US360470266002,"Block Group 2, Census Tract 266, Kings County, New York",1122,360,939,248,308,151,0,12,40,60,591,226,0,12,0,12,0,12,0,12,0,12,183,265,175,264,0,12,0,12,0,12,0,12,0,12,8,12,8,12,0,12
1500000US360470266003,"Block Group 3, Census Tract 266, Kings County, New York",1051,340,902,316,203,121,0,12,0,12,699,299,0,12,0,12,0,12,0,12,0,12,149,174,50,79,0,12,0,12,0,12,0,12,96,154,3,5,3,5,0,12
