GEO_ID,NAME,B19013_001E,B19013_001EA,B19013_001M,B19013_001MA
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)
1400000US36005024900,"Census Tract 249, Bronx County, New York",-,-,**,**
1400000US36005025000,"Census Tract 250, Bronx County, New York",79089,null,20934,null
1400000US36005025100,"Census Tract 251, Bronx County, New York",43799,null,7413,null
1400000US36005025200,"Census Tract 252, Bronx County, New York",69375,null,23093,null
1400000US36005025300,"Census Tract 253, Bronx County, New York",38594,null,11136,null
1400000US36005025400,"Census Tract 254, Bronx County, New York",51188,null,12777,null
1400000US36005025500,"Census Tract 255, Bronx County, New York",45188,null,13801,null
1400000US36005025600,"Census Tract 256, Bronx County, New York",48813,null,9683,null
1400000US36005025700,"Census Tract 257, Bronx County, New York",48708,null,18945,null
1400000US36005026100,"Census Tract 261, Bronx County, New York",50913,null,10239,null
1400000US36005026300,"Census Tract 263, Bronx County, New York",28617,null,5756,null
1400000US36005026400,"Census Tract 264, Bronx County, New York",52132,null,16291,null
1400000US36005026500,"Census Tract 265, Bronx County, New York",49015,null,10741,null
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",56338,null,12976,null
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",54501,null,10920,null
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",44631,null,16246,null
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",39434,null,19202,null
1400000US36005026900,"Census Tract 269, Bronx County, New York",25039,null,20208,null
1400000US36005027300,"Census Tract 273, Bronx County, New York",44350,null,13286,null
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",85795,null,30335,null
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",96550,null,28530,null
1400000US36005027600,"Census Tract 276, Bronx County, New York","2,500-","2,500-",***,***
1400000US36005027700,"Census Tract 277, Bronx County, New York",29937,null,12078,null
1400000US36005027900,"Census Tract 279, Bronx County, New York",60132,null,19466,null
1400000US36005028100,"Census Tract 281, Bronx County, New York",54386,null,17752,null
1400000US36005028300,"Census Tract 283, Bronx County, New York",-,-,**,**
1400000US36005028400,"Census Tract 284, Bronx County, New York",-,-,**,**
1400000US36005028500,"Census Tract 285, Bronx County, New York",63926,null,8929,null
1400000US36005028600,"Census Tract 286, Bronx County, New York",79141,null,13740,null
1400000US36005028700,"Census Tract 287, Bronx County, New York",56250,null,16660,null
1400000US36005028800,"Census Tract 288, Bronx County, New York",76250,null,12475,null
1400000US36005028900,"Census Tract 289, Bronx County, New York",48173,null,6724,null
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",131250,null,33628,null
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",108711,null,9739,null
1400000US36005029500,"Census Tract 295, Bronx County, New York",93821,null,10579,null
1400000US36005029600,"Census Tract 296, Bronx County, New York",49493,null,3805,null
1400000US36005029700,"Census Tract 297, Bronx County, New York",89037,null,15422,null
